iter	Passed	Remaining
0	154	53869
1	158	27496
2	161	18721
3	165	14344
4	169	11669
5	172	9905
6	175	8605
7	179	7681
8	186	7049
9	189	6459
10	193	5976
11	199	5619
12	202	5261
13	206	4957
14	210	4703
15	216	4526
16	222	4348
17	228	4211
18	233	4061
19	236	3903
20	243	3820
21	248	3705
22	252	3583
23	258	3516
24	263	3420
25	266	3324
26	273	3270
27	294	3388
28	298	3304
29	304	3250
30	312	3216
31	320	3184
32	325	3125
33	328	3056
34	337	3039
35	341	2977
36	344	2917
37	352	2896
38	355	2835
39	358	2779
40	364	2750
41	370	2713
42	373	2666
43	379	2636
44	384	2604
45	387	2561
46	394	2542
47	399	2514
48	403	2475
49	409	2456
50	414	2429
51	418	2397
52	428	2403
53	432	2372
54	437	2346
55	443	2329
56	447	2300
57	452	2276
58	458	2259
59	461	2232
60	465	2207
61	472	2195
62	476	2170
63	480	2145
64	492	2160
65	498	2145
66	503	2125
67	507	2102
68	511	2083
69	517	2069
70	520	2046
71	525	2027
72	532	2020
73	536	2000
74	541	1985
75	546	1968
76	549	1948
77	553	1930
78	576	1979
79	580	1958
80	583	1937
81	591	1933
82	595	1915
83	598	1896
84	607	1892
85	611	1877
86	617	1866
87	623	1854
88	627	1839
89	651	1881
90	654	1862
91	657	1845
92	665	1838
93	670	1825
94	673	1808
95	682	1805
96	686	1789
97	689	1772
98	697	1768
99	701	1752
100	704	1737
101	711	1729
102	716	1717
103	720	1703
104	728	1700
105	751	1730
106	760	1727
107	767	1720
108	775	1714
109	782	1706
110	789	1699
111	793	1687
112	797	1672
113	800	1658
114	807	1650
115	811	1636
116	814	1621
117	821	1615
118	826	1603
119	829	1590
120	837	1584
121	841	1572
122	844	1559
123	851	1552
124	856	1541
125	859	1528
126	866	1521
127	871	1510
128	874	1498
129	882	1493
130	886	1482
131	890	1470
132	897	1465
133	902	1454
134	905	1442
135	913	1437
136	917	1426
137	921	1415
138	928	1409
139	932	1398
140	935	1387
141	943	1381
142	947	1371
143	950	1360
144	958	1355
145	962	1345
146	966	1334
147	973	1328
148	977	1318
149	980	1307
150	988	1302
151	993	1294
152	1001	1288
153	1008	1283
154	1019	1283
155	1025	1274
156	1037	1275
157	1045	1270
158	1051	1263
159	1057	1255
160	1074	1260
161	1088	1263
162	1095	1257
163	1101	1249
164	1110	1245
165	1115	1236
166	1124	1232
167	1130	1224
168	1140	1221
169	1148	1216
170	1158	1212
171	1162	1203
172	1168	1195
173	1189	1203
174	1193	1193
175	1197	1184
176	1252	1224
177	1256	1214
178	1260	1204
179	1269	1198
180	1273	1188
181	1277	1179
182	1296	1183
183	1301	1173
184	1305	1164
185	1313	1158
186	1317	1148
187	1324	1141
188	1328	1131
189	1332	1122
190	1340	1115
191	1344	1106
192	1348	1097
193	1357	1091
194	1361	1082
195	1367	1074
196	1394	1082
197	1399	1074
198	1425	1081
199	1429	1071
200	1453	1077
201	1457	1067
202	1464	1060
203	1469	1051
204	1477	1045
205	1482	1036
206	1486	1027
207	1494	1020
208	1499	1011
209	1505	1003
210	1513	997
211	1519	989
212	1529	983
213	1536	976
214	1544	970
215	1550	962
216	1556	953
217	1568	949
218	1572	940
219	1578	932
220	1594	930
221	1600	922
222	1604	914
223	1613	907
224	1618	899
225	1626	892
226	1631	883
227	1636	875
228	1645	869
229	1649	860
230	1680	865
231	1687	858
232	1694	850
233	1698	842
234	1705	834
235	1712	827
236	1721	820
237	1726	812
238	1736	806
239	1741	798
240	1750	791
241	1756	783
242	1764	776
243	1768	768
244	1776	761
245	1781	752
246	1786	744
247	1793	737
248	1797	729
249	1804	721
250	1809	713
251	1813	705
252	1822	698
253	1826	690
254	1831	682
255	1868	686
256	1872	677
257	1875	668
258	1887	663
259	1891	654
260	1899	647
261	1903	639
262	1907	631
263	1914	623
264	1919	615
265	1922	607
266	1930	600
267	1934	591
268	1938	583
269	1945	576
270	1949	568
271	1953	560
272	1960	553
273	1964	544
274	1968	536
275	1975	529
276	1979	521
277	1983	513
278	1989	506
279	1994	498
280	1998	490
281	2006	483
282	2010	475
283	2014	468
284	2021	461
285	2026	453
286	2029	445
287	2036	438
288	2041	430
289	2044	423
290	2051	415
291	2056	408
292	2059	400
293	2065	393
294	2070	386
295	2074	378
296	2079	371
297	2084	363
298	2088	356
299	2093	348
300	2098	341
301	2102	334
302	2109	327
303	2114	319
304	2117	312
305	2123	305
306	2128	298
307	2132	290
308	2139	283
309	2143	276
310	2146	269
311	2153	262
312	2158	255
313	2162	247
314	2170	241
315	2175	234
316	2178	226
317	2188	220
318	2192	213
319	2198	206
320	2204	199
321	2208	192
322	2215	185
323	2220	178
324	2224	171
325	2232	164
326	2236	157
327	2246	150
328	2251	143
329	2255	136
330	2283	131
331	2288	124
332	2296	117
333	2299	110
334	2305	103
335	2312	96
336	2316	89
337	2326	82
338	2330	75
339	2336	68
340	2341	61
341	2350	54
342	2358	48
343	2365	41
344	2373	34
345	2379	27
346	2384	20
347	2398	13
348	2432	6
349	2437	0
